DayId,TimeSlotId,IES1,IES2,IES3,IES4,IES5,IES6,IES7,IES8,IES9,IES10
1.0,1.0,1213.380470501003,923.5633161346749,1186.9445484014625,650.6043601846172,2248.9261203136384,2132.3600918411694,4244.870958504598,1852.782080227149,1096.075381177322,1259.5063969468267
1.0,2.0,1178.465541245966,1073.975133629203,1299.650184969758,520.3639709873831,1880.477319737314,1423.234719904626,4475.695037066909,1687.4284074717211,945.4932133199153,1087.952304285848
1.0,3.0,1137.7583327583664,1098.1380802066597,1094.0190665587002,653.4290390346276,1754.232158088144,1872.5938483798284,3229.7339983898883,1615.3017554083015,690.437227869209,860.7347505669144
1.0,4.0,1224.6250265152662,907.9416740741952,1394.364349114414,450.5906499398636,1347.5679249551467,1269.9659494264195,4446.00911297869,1723.4355573141286,951.1397892907139,1056.0136277174354
1.0,5.0,1134.6134702813736,1057.3899179168036,1245.2472414720787,522.2730100353588,2059.941317417324,1732.072649180702,3433.715380470803,1354.9112449314625,986.5455974267708,1001.8652791732486
1.0,6.0,1061.6313783332332,981.1433401933907,841.3948101220517,597.6592679011868,2138.03954745519,1792.8017165175308,4522.943828235871,1649.512061059619,801.3170555309996,1028.926533466523
1.0,7.0,1120.3720797121232,984.7943621643545,1406.2052265374323,620.8069518761837,2037.7766642704332,1644.8975059486295,4117.57998347804,1943.8005048908137,983.3077588130491,1028.997816165273
1.0,8.0,990.4867191299143,976.7413248697723,1269.8578108329252,642.1261567848553,2033.5119057671088,1706.7661362040426,4528.7673238443485,1670.9212014434288,900.7950474783797,1060.4902044979126
1.0,9.0,1019.3868740912993,933.4404015494889,1405.2551518116834,638.8632652067976,2402.0951752602145,1777.1824496953373,4517.984435435779,1690.6306071784948,1000.115967943744,1033.3204050594843
1.0,10.0,1250.158005666048,895.0666952665777,1396.55288284627,656.4007172796213,1960.657700035036,1633.8457454032236,4016.7346607689765,1812.4753613156408,980.0425612156035,1128.0781499150153
1.0,11.0,1142.8966711503447,1040.7991590688057,1476.6037394884384,716.3709934784546,1984.3894639741534,1836.9033892914167,4898.99623609743,1962.740722327198,918.6795968586092,1013.7705456131906
1.0,12.0,1133.9096643657958,919.6840084382914,1214.4371582438814,674.4899067881277,2306.0339932923794,1500.2556973588999,4430.052206633424,1523.7146081248634,905.5867187952641,1064.1900212687308
1.0,13.0,1284.9224136136725,862.2570678878559,1391.9747513401815,583.9427400941767,1987.3707307643633,1715.9818859295342,4268.084589997115,1512.6942513653726,947.7329843231465,1198.1919752857716
1.0,14.0,1025.5654035536534,1016.9101924293146,1377.4856276213454,628.5294980151034,2174.309161058964,1504.6324906614905,3911.6649691347766,1939.7377350138997,919.5606016250673,1161.8659436803807
1.0,15.0,1092.929329001587,866.2432389573472,1400.5269731932708,630.055230290185,1904.6698695818218,1789.9904920904396,3923.9251784121902,1769.6248457678914,998.0970837840632,1129.5455266772253
1.0,16.0,953.734686816898,949.248930755675,1157.081537805396,566.4310358528161,2069.235482415175,1645.6372417639157,4814.594591862916,1578.6563718787122,912.1766728292304,1173.9938885906881
1.0,17.0,1002.0882141162956,1035.2305636096078,1271.7537926918162,684.4290672051818,1988.786001675326,1533.703486308299,4128.9802864513695,1683.1213347346988,852.3481232456361,1034.667047324499
1.0,18.0,1198.717984653166,892.1401445802809,1155.8825928626898,556.3732982743159,2081.9147959543448,1812.9916143647436,4238.991564464361,1569.0973087631248,1013.4096075541588,1115.9645341180842
1.0,19.0,957.2944960886542,962.4615202744095,1330.6784329756408,598.2869500997269,1467.985656938313,1717.0038200152,4163.659458581334,1715.4329760158894,842.7736581720512,1164.2237646858464
1.0,20.0,997.3824706950294,799.5809777082197,1246.5531515654848,654.1885289091235,1926.8442035307974,1837.331182636572,4399.4181293148695,1559.3191071292954,793.7969134326653,1078.2781377378637
1.0,21.0,1050.9661507505248,876.8429621520146,1438.4726088603206,636.5200444994036,1679.974587480331,1539.7372198115872,4920.907230125342,1934.2364073546873,972.1962288195939,1118.3087204102865
